,parsed,entities,labels,position_start,position_end,has_terms
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7906226\sections\1_body\5_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by Ethics Committee of the Affiliated Hospital of Qingdao University School of Medicine. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,"[Ethics Committee, the Affiliated Hospital of Qingdao University School of Medicine]","['ORG', 'ORG']","[71, 91]","[87, 155]",human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7940375\sections\1_body\4_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by Second affiliated hospital, school of medicine, zhejiang university. The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.",[Second],['ORDINAL'],[71],[77],human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7947343\sections\1_body\1_materials_and_methods\3_experimental_procedure\1_p.xml,All procedures performed in this study were in accordance with the ethical standards of the Ethics Board of Central China Normal University and with the 1964 Helsinki declaration and its later amendments or comparable ethical standards. All participants provided written informed consent.,"[the Ethics Board of Central China Normal University, 1964, Helsinki]","['ORG', 'DATE', 'ORG']","[88, 153, 158]","[139, 157, 166]",ethical standards
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7947343\sections\1_body\6_ethics_statement\1_p.xml,The studies involving human participants were reviewed and approved by the Ethics Board of Central China Normal University. The patients/participants provided their written informed consent to participate in this study.,[the Ethics Board of Central China Normal University],['ORG'],[71],[122],human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7959173\sections\1_body\4_ethics_statement\1_p.xml,Ethical review and approval was not required for the study on human participants in accordance with the local legislation and institutional requirements. The patients/participants provided their written informed consent to participate in this study.,[],[],[],[],human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7969973\sections\1_body\4_ethics_statement\1_p.xml,Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],informed consent
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7982648\sections\1_body\4_ethics_statement\1_p.xml,Authors obtained written informed consent from the patient's parents for the publication. Written informed consent was obtained from the minor(s)' legal guardian/next of kin for the publication of any potentially identifiable images or data included in this article.,[],[],[],[],informed consent
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7987664\sections\1_body\5_ethics_statement\1_p.xml,"The studies involving human participants were reviewed and approved by the Institutional Review Board for Human Studies of Second Affiliated Hospital of Zhejiang University School of Medicine (Hangzhou, China). The patients/participants provided their written informed consent to participate in this study. Written informed consent was obtained from the individual(s) for the publication of any potentially identifiable images or data included in this article.","[the Institutional Review Board for Human Studies, Zhejiang University School of Medicine, Hangzhou, China]","['ORG', 'ORG', 'GPE', 'GPE']","[71, 153, 193, 203]","[119, 191, 201, 208]",human participants
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC7994513\sections\1_body\5_ethics_statement\1_p.xml,"This study was approved by the ethics committee of the West China Hospital, Sichuan University, and written informed consent was provided by the patient for publication of this case publication.","[the West China Hospital, Sichuan University]","['ORG', 'ORG']","[51, 76]","[74, 94]",ethics committee
C:\Users\shweata\dictionary\ethics_statement_project\ethics_statement_frontiers_100\PMC8005519\sections\1_body\1_methods\3_ethics_statement\1_p.xml,"The study was approved by the Regional Ethic Committee in Berne, Switzerland, and was carried out according to the recommendations of the Helsinki Declaration. All subjects and parents gave their written consent prior to any testing.","[the Regional Ethic Committee, Berne, Switzerland, the Helsinki Declaration]","['ORG', 'GPE', 'GPE', 'LAW']","[26, 58, 65, 134]","[54, 63, 76, 158]",written consent
