,parsed,entities,labels,position_start,position_end,has_terms
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\1_introduction\1_p.xml,"Lung transplant patients with treatment refractory moderate (grade 2) bronchiolitis obliterans syndrome (BOS) who do not qualify for a second transplant are at high risk of mortality or extreme disability. BOS is a subtype of chronic lung allograft dysfunction (CLAD) and is defined by progressive decline in forced expiratory volume in 1 second (FEV
 ","[2, BOS, second, BOS, 1 second]","['CARDINAL', 'ORG', 'ORDINAL', 'ORG', 'TIME']","[67, 105, 135, 206, 337]","[68, 108, 141, 209, 345]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\2_materials_and_methods\1_patient_population\1_p.xml,"Study patients were recruited from the clinical practice of the lung transplant program at Mayo Clinic in Jacksonville, Florida. Inclusion and exclusion criteria are listed in Table 
 ","[Mayo Clinic, Jacksonville, Florida]","['ORG', 'GPE', 'GPE']","[91, 106, 120]","[102, 118, 127]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\2_materials_and_methods\2_msc_manufacturing\1_p.xml,"MSC manufacturing was performed by Waisman Biomanufacturing at the University of Wisconsin‐Madison, Madison, Wisconsin. Clinical grade bone marrow was purchased from Lonza (Walkersville, MD, 
 ","[MSC, Waisman Biomanufacturing, the University of Wisconsin‐Madison, Madison, Wisconsin, MD]","['ORG', 'PERSON', 'ORG', 'GPE', 'GPE', 'GPE']","[0, 35, 63, 100, 109, 187]","[3, 59, 98, 107, 118, 189]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\2_materials_and_methods\3_transporting_msc\1_p.xml,"Shipping studies were performed to verify transporting cryopreserved MSCs between the manufacturing facility (Waisman Biomanufacturing at the University of Wisconsin‐Madison) and the clinical site (Mayo Clinic in Jacksonville, Florida) did not adversely impact MSC quality. It was discovered that some of the cell product bags were broken, prompting a change in thawing protocol. Because of the risk of MSC clumping and sedimentation during infusion, especially in the high‐dose group, a pilot experiment was performed, which led to adjustment and determination of the final cell concentration with least clumping and sedimentation. Similarly, dimethyl sulfoxide content was adjusted to a minimum while maintaining maximal post‐thaw viability. To ensure stability of the MSCs during infusion, pre‐ and postinfusion viability assessments were performed. Cells were thawed and diluted following an approved Standard Operating Procedure. The thawed, diluted cells were held at room temperature and samples were removed each hour over a 4‐hour period and assessed for recovery, clumping, and viability (Trypan Blue). MSC viability was >88% for all time points in all replicate studies. Studies were repeated with the thaw and viable cell count performed at the Mayo Clinic Cell Therapy Laboratory (Jacksonville, FL) with a viability >84%.","[Waisman Biomanufacturing, the University of Wisconsin‐Madison, Mayo Clinic, Jacksonville, Florida, MSC, MSC, each hour, Trypan Blue, 88%, the Mayo Clinic Cell Therapy Laboratory, Jacksonville, >84%]","['PERSON', 'ORG', 'ORG', 'GPE', 'GPE', 'ORG', 'ORG', 'TIME', 'ORG', 'PERCENT', 'ORG', 'GPE', 'PERCENT']","[110, 138, 198, 213, 227, 261, 403, 1016, 1099, 1132, 1253, 1294, 1329]","[134, 173, 209, 225, 234, 264, 406, 1025, 1110, 1135, 1292, 1306, 1333]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\2_materials_and_methods\4_preparation_of_mscs_prior\1_p.xml,"On infusion day, the frozen MSCs underwent a standard protocol for thawing and infusion. Each bag was then diluted fivefold with Plasma‐Lyte (100 mL; Baxter Healthcare Corporation, Deerfield, IL, 
 ","[100 mL, Baxter Healthcare Corporation, Deerfield, IL]","['CARDINAL', 'ORG', 'ORG']","[142, 150, 181]","[148, 179, 194]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\2_materials_and_methods\5_msc_infusion_on_patients_\1_p.xml,"Infusion of MSCs was performed in the clinical apheresis unit. MSCs were infused at a rate of 2–3 mL/minute during the first 15 minutes, with the option to be adjusted up to 5 mL/minute if tolerated. Patients were monitored for any adverse reaction. Infusion toxicity was evaluated by continuously monitoring the patient's vital signs, electrocardiogram, and O
 ","[2–3 mL, the first 15 minutes]","['MONEY', 'TIME']","[94, 115]","[100, 135]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\2_materials_and_methods\6_monitoring\1_p.xml,"Laboratory data (hemoglobin; white blood cell and platelet counts; and blood urea nitrogen, serum creatinine, and glucose levels) were collected for all patients prior to infusion (1–7 days) and on days 1, 7, and 30 after infusion. Arterial blood gases were obtained prior to infusion and on days 7 and 30 after infusion. Spirometric values were obtained within 7 days prior to infusion, just before infusion, and on days 1, 7, and 30 after infusion.","[1–7 days, days 1, 7, 30, 7 days, days 1, 7, 30]","['DATE', 'DATE', 'DATE', 'CARDINAL', 'DATE', 'DATE', 'DATE', 'CARDINAL']","[181, 198, 206, 213, 362, 417, 425, 432]","[189, 204, 207, 215, 368, 423, 426, 434]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\2_materials_and_methods\7_statistical_analysis\1_p.xml,"Individual variables were investigated across time using a one‐factor repeated measures analysis of variance. Significant differences among time points were investigated, adjusting for multiple comparisons using the Student‐Newman‐Kruels test. All statistical results were completed using SAS version 9.4 (SAS Institute Inc., Cary, NC, 
 ","[Student‐Newman‐Kruels, SAS, 9.4, SAS Institute Inc., Cary, NC]","['NORP', 'ORG', 'CARDINAL', 'ORG', 'GPE', 'GPE']","[216, 289, 301, 306, 326, 332]","[237, 292, 304, 324, 330, 334]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\3_results\1_patient_population\1_p.xml,"Nine patients (seven men, two women) who were recipients of double lung transplant (
 ","[Nine, seven, two]","['CARDINAL', 'CARDINAL', 'CARDINAL']","[0, 15, 26]","[4, 20, 29]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\3_results\2_feasibility_of_msc_therap\1_p.xml,"The process of freezing, transporting, and thawing MSCs did not affect their viability: 92.4% ± 2.6% were viable prior to infusion and 93.0% ± 3.28% were found to be viable at the end of infusion (Table 
 ","[92.4%, ±, 2.6%, 93.0%, ±, 3.28%]","['PERCENT', 'NORP', 'PERCENT', 'PERCENT', 'NORP', 'PERCENT']","[88, 94, 96, 135, 141, 143]","[93, 95, 100, 140, 142, 148]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\3_results\3_safety_and_tolerance_of_m\1_p.xml,"Patients were clinically evaluated for evidence of acute or delayed infusion‐related adverse events. Vital signs, pulmonary function test results, and Borg Dyspnea Index recorded before and after infusion of MSCs are summarized in Table 
 ",[Borg Dyspnea],['ORG'],[151],[163],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\4_discussion\1_p.xml,"Immunomodulation induced by MSC therapy in solid organ transplant recipients has only recently been explored 
 ",[MSC],['ORG'],[28],[31],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\5_conclusion\1_p.xml,"The results of our study suggest it is safe and feasible to provide cell therapy with intravenous infusion of bone marrow‐derived MSCs to lung transplant recipients with moderate obstructive CLAD, warranting future studies to assess the effectiveness of this therapy for management of acute or chronic graft dysfunction.",[],[],[],[],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\6_author_contributions\1_p.xml,"C.A.K. and A.C.Z.: conception and design, financial support, administrative support, provision of study material or patients, collection and/or assembly of data, data analysis and interpretation, manuscript writing, final approval of manuscript; T.A.G.: conception and design, manuscript writing, final approval of manuscript; D.O.H.: collection and/or assembly of data, data analysis and interpretation, final approval of manuscript; D.H. and J.M.C.: conception and design, provision of study material or patients, manuscript writing, final approval of manuscript","[C.A.K., A.C.Z., D.H., J.M.C.]","['ORG', 'GPE', 'GPE', 'PERSON']","[0, 11, 435, 444]","[6, 17, 439, 450]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788872\sections\1_body\7_disclosure_of_potential_c\1_p.xml,D.J.H. is an employee of Cellular Dynamics International. J.M.C. is an employee of AxoGen Inc. The other authors indicated no potential conflicts of interest.,"[Cellular Dynamics International, J.M.C., AxoGen Inc.]","['ORG', 'GPE', 'ORG']","[25, 58, 83]","[56, 64, 94]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\1_introduction\1_p.xml,"Nonischemic dilated cardiomyopathy (DCM) is the most frequent cause of advanced heart failure 
 ",[Nonischemic],['NORP'],[0],[11],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\2_materials_and_methods\1_patient_population\1_p.xml,"This study protocol represents a sub‐study of a parent prospective randomized study comparing the effects of repetitive and single‐dose cell therapy in patients with nonischemic DCM (
 ",[DCM],['ORG'],[178],[181],study protocol
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\2_materials_and_methods\2_study_design\1_p.xml,"Patients were randomized in a 1:1 ratio to transendocardial cell therapy (SC Group) or no cell therapy (Controls). The allocation was done according to the covariate adaptive randomization strategy. At baseline, patients in the SC Group received granulocyte‐colony stimulating factor (G‐CSF); CD34
 ","[1:1, SC Group, Controls, the SC Group, granulocyte‐colony, CD34
 ]","['CARDINAL', 'ORG', 'PERSON', 'ORG', 'ORG', 'PRODUCT']","[30, 74, 104, 224, 246, 293]","[33, 82, 112, 236, 264, 299]",False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\2_materials_and_methods\3_echocardiography\1_p.xml,"Echocardiography was performed according to European Association of Cardiovascular Imaging recommendations 
 ",[European Association of Cardiovascular Imaging],['ORG'],[44],[90],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\2_materials_and_methods\4_6‐minute_walk_test_and_nt\1_p.xml,"The 6‐minute walk test was performed by a blinded observer according to the standard protocol 
 ",[],[],[],[],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\2_materials_and_methods\5_peripheral_blood_stem_cel\1_p.xml,"Stem cell mobilization and collection was performed as described previously 
 ",[],[],[],[],False
C:\Users\shweata\dictionary\ethics_statement_project\stem_cell_2018\PMC5788875\sections\1_body\2_materials_and_methods\6_electroanatomical_mapping\1_p.xml,"Electroanatomical mapping was performed using the Biosense NOGA system (Biosense‐Webster, Diamond Bar, California, 
 ","[Biosense, Diamond Bar, California]","['NORP', 'GPE', 'GPE']","[50, 90, 103]","[58, 101, 113]",False
